ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.708906,9.899032
0,1,0.5,0.6,9,8.625949,9.696612
0,2,0.5,0.7,8,7.7827516,8.370057
0,3,0.5,0.8,7,7.3997407,8.064396
0,4,0.5,0.9,6,7.0948195,7.5899434
0,5,0.5,1.0,5,7.1486692,7.4941854
0,6,0.5,1.1,6,7.198663,7.5624332
0,7,0.5,1.2,7,7.5757637,7.991074
0,8,0.5,1.3,8,7.823953,8.344948
0,9,0.5,1.4,9,8.357368,8.785639
0,10,0.5,1.5,10,8.410977,9.338547
0,11,0.5,1.6,11,8.667649,9.703762
0,12,0.5,1.7,12,10.027085,10.888704
0,13,0.5,1.8,13,10.330293,11.280688
0,14,0.5,1.9,14,10.975983,11.855379
0,15,0.5,2.0,15,11.202495,12.54042
0,16,0.5,2.1,16,11.582974,12.904335
0,17,0.5,2.2,17,12.322792,13.362236
0,18,0.5,2.3,18,12.61463,13.852881
0,19,0.5,2.4,19,13.363787,14.529128
0,20,0.5,2.5,20,13.464596,14.796334
0,21,0.5,2.6,21,13.660325,15.072487
0,22,0.5,2.7,22,13.82267,15.291306
0,23,0.5,2.8,23,13.879444,15.404475
0,24,0.5,2.9,24,14.234941,15.7742195
0,25,0.5,3.0,25,14.396373,15.797232
0,26,0.5,3.1,26,14.483965,15.99335
1,0,0.6,0.5,9,8.599519,9.954753
1,1,0.6,0.6,8,8.369594,9.410593
1,2,0.6,0.7,7,7.4528236,8.111469
1,3,0.6,0.8,6,7.1873307,7.895118
1,4,0.6,0.9,5,6.800532,7.4246955
1,5,0.6,1.0,4,6.768046,7.261026
1,6,0.6,1.1,5,6.8515306,7.4038725
1,7,0.6,1.2,6,7.3566046,7.881653
1,8,0.6,1.3,7,7.6451473,8.263389
1,9,0.6,1.4,8,8.231186,8.863827
1,10,0.6,1.5,9,8.337534,9.393959
1,11,0.6,1.6,10,8.506921,9.608104
1,12,0.6,1.7,11,9.867529,10.843714
1,13,0.6,1.8,12,10.157282,11.246388
1,14,0.6,1.9,13,10.8194065,12.003409
1,15,0.6,2.0,14,11.145749,12.649725
1,16,0.6,2.1,15,11.436793,12.885611
1,17,0.6,2.2,16,12.039829,13.333639
1,18,0.6,2.3,17,12.526107,13.867609
1,19,0.6,2.4,18,13.129572,14.45371
1,20,0.6,2.5,19,13.378255,14.811077
1,21,0.6,2.6,20,13.52917,15.102365
1,22,0.6,2.7,21,13.69293,15.228049
1,23,0.6,2.8,22,13.716338,15.33606
1,24,0.6,2.9,23,14.247843,15.750075
1,25,0.6,3.0,24,14.498975,15.956216
1,26,0.6,3.1,25,14.595412,16.120775
2,0,0.7,0.5,8,7.860861,8.756929
2,1,0.7,0.6,7,7.515096,8.368751
2,2,0.7,0.7,6,6.6766124,7.243769
2,3,0.7,0.8,5,6.1334324,6.642959
2,4,0.7,0.9,4,5.5403137,5.9358997
2,5,0.7,1.0,3,5.061041,5.4977326
2,6,0.7,1.1,4,5.1559997,5.592919
2,7,0.7,1.2,5,6.26385,6.496648
2,8,0.7,1.3,6,6.867958,7.205615
2,9,0.7,1.4,7,7.396637,8.128679
2,10,0.7,1.5,8,7.618057,8.561204
2,11,0.7,1.6,9,7.7424498,8.833528
2,12,0.7,1.7,10,9.090198,10.038564
2,13,0.7,1.8,11,10.137914,11.037737
2,14,0.7,1.9,12,10.736173,11.853181
2,15,0.7,2.0,13,11.291624,12.638996
2,16,0.7,2.1,14,11.359237,12.743053
2,17,0.7,2.2,15,11.884677,13.21353
2,18,0.7,2.3,16,12.91383,13.95332
2,19,0.7,2.4,17,13.316438,14.460227
2,20,0.7,2.5,18,13.730159,15.09811
2,21,0.7,2.6,19,13.841552,15.30181
2,22,0.7,2.7,20,14.322483,15.720506
2,23,0.7,2.8,21,14.456935,15.890709
2,24,0.7,2.9,22,14.658058,16.162844
2,25,0.7,3.0,23,14.664029,16.21692
2,26,0.7,3.1,24,14.689588,16.32804
3,0,0.8,0.5,7,7.4111395,8.286042
3,1,0.8,0.6,6,7.312017,8.203464
3,2,0.8,0.7,5,6.221892,6.545345
3,3,0.8,0.8,4,6.1112304,6.1917396
3,4,0.8,0.9,3,4.9807367,5.278645
3,5,0.8,1.0,2,4.7860184,4.8742523
3,6,0.8,1.1,3,4.503694,4.7967434
3,7,0.8,1.2,4,6.070931,6.3713346
3,8,0.8,1.3,5,6.5573025,6.8919506
3,9,0.8,1.4,6,6.6814337,7.2513275
3,10,0.8,1.5,7,7.1985774,7.960473
3,11,0.8,1.6,8,7.3718786,8.153141
3,12,0.8,1.7,9,8.827052,9.708484
3,13,0.8,1.8,10,10.18592,10.996011
3,14,0.8,1.9,11,10.516531,11.678048
3,15,0.8,2.0,12,11.158814,12.436511
3,16,0.8,2.1,13,11.340914,12.6213665
3,17,0.8,2.2,14,11.991389,13.254854
3,18,0.8,2.3,15,12.956694,14.093315
3,19,0.8,2.4,16,13.466176,14.471701
3,20,0.8,2.5,17,13.529114,14.935443
3,21,0.8,2.6,18,13.768064,15.215772
3,22,0.8,2.7,19,14.452697,15.919181
3,23,0.8,2.8,20,14.724623,16.058117
3,24,0.8,2.9,21,14.869025,16.165396
3,25,0.8,3.0,22,14.521623,16.167013
3,26,0.8,3.1,23,14.591882,16.295292
4,0,0.9,0.5,6,6.4687953,7.344781
4,1,0.9,0.6,5,6.430432,7.223395
4,2,0.9,0.7,4,4.923312,5.410847
4,3,0.9,0.8,3,4.5215545,4.81153
4,4,0.9,0.9,2,4.0496826,4.1693735
4,5,0.9,1.0,1,3.439178,3.6652691
4,6,0.9,1.1,2,3.6347585,3.7706728
4,7,0.9,1.2,3,4.9881067,5.0422664
4,8,0.9,1.3,4,5.6153307,5.568466
4,9,0.9,1.4,5,5.5678754,6.0890446
4,10,0.9,1.5,6,6.2434688,7.1005216
4,11,0.9,1.6,7,6.6549416,7.4810047
4,12,0.9,1.7,8,8.430996,9.174725
4,13,0.9,1.8,9,9.462611,10.121041
4,14,0.9,1.9,10,9.588431,10.582639
4,15,0.9,2.0,11,10.337327,11.667105
4,16,0.9,2.1,12,10.792361,12.151421
4,17,0.9,2.2,13,11.876202,13.0515995
4,18,0.9,2.3,14,12.3749275,13.432759
4,19,0.9,2.4,15,12.376807,13.728895
4,20,0.9,2.5,16,12.775477,14.26742
4,21,0.9,2.6,17,13.417164,14.939874
4,22,0.9,2.7,18,14.361752,15.829068
4,23,0.9,2.8,19,14.302748,15.776995
4,24,0.9,2.9,20,14.214364,15.809483
4,25,0.9,3.0,21,14.395294,16.12207
4,26,0.9,3.1,22,14.66936,16.387428
5,0,1.0,0.5,5,6.4402943,7.65876
5,1,1.0,0.6,4,6.288848,7.543512
5,2,1.0,0.7,3,4.401995,5.1837997
5,3,1.0,0.8,2,3.727119,4.165361
5,4,1.0,0.9,1,2.5968018,2.6163332
5,5,1.0,1.0,0,0.0,0.0
5,6,1.0,1.1,1,1.2074023,1.4052645
5,7,1.0,1.2,2,3.5009823,3.774598
5,8,1.0,1.3,3,4.6334686,4.6602902
5,9,1.0,1.4,4,5.076439,5.638107
5,10,1.0,1.5,5,5.8499947,6.7444997
5,11,1.0,1.6,6,6.286162,7.265573
5,12,1.0,1.7,7,7.8702273,8.645109
5,13,1.0,1.8,8,8.631539,9.223613
5,14,1.0,1.9,9,8.715928,9.859224
5,15,1.0,2.0,10,9.574281,11.118112
5,16,1.0,2.1,11,10.163479,11.752876
5,17,1.0,2.2,12,11.334095,12.668459
5,18,1.0,2.3,13,11.842602,12.9992285
5,19,1.0,2.4,14,12.106533,13.521752
5,20,1.0,2.5,15,12.49932,14.211788
5,21,1.0,2.6,16,12.893494,14.703218
5,22,1.0,2.7,17,13.851481,15.395745
5,23,1.0,2.8,18,13.722983,15.345606
5,24,1.0,2.9,19,14.018219,15.645507
5,25,1.0,3.0,20,14.016401,15.937076
5,26,1.0,3.1,21,14.349062,16.265913
6,0,1.1,0.5,6,6.5653753,8.066989
6,1,1.1,0.6,5,6.2935658,7.582712
6,2,1.1,0.7,4,4.4757214,5.3810053
6,3,1.1,0.8,3,3.975731,4.472608
6,4,1.1,0.9,2,2.5277796,2.604186
6,5,1.1,1.0,1,0.9008877,1.2544365
6,6,1.1,1.1,2,1.0628123,1.0223815
6,7,1.1,1.2,3,3.395761,3.5921383
6,8,1.1,1.3,4,4.213102,4.451539
6,9,1.1,1.4,5,4.9658484,5.69201
6,10,1.1,1.5,6,5.65171,6.6713376
6,11,1.1,1.6,7,6.0441923,7.1233263
6,12,1.1,1.7,8,7.64379,8.44013
6,13,1.1,1.8,9,8.52592,9.227281
6,14,1.1,1.9,10,8.811884,9.950829
6,15,1.1,2.0,11,9.577829,11.029817
6,16,1.1,2.1,12,9.977749,11.527391
6,17,1.1,2.2,13,11.155819,12.48109
6,18,1.1,2.3,14,11.774251,12.996649
6,19,1.1,2.4,15,12.250173,13.643765
6,20,1.1,2.5,16,12.595152,14.388425
6,21,1.1,2.6,17,12.956653,14.768588
6,22,1.1,2.7,18,13.693299,15.254435
6,23,1.1,2.8,19,13.743388,15.273405
6,24,1.1,2.9,20,14.000759,15.627785
6,25,1.1,3.0,21,14.095233,15.992529
6,26,1.1,3.1,22,14.436496,16.291529
7,20,1.2,2.5,17,13.121914,14.658649
7,21,1.2,2.6,18,13.253199,14.841241
