ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.708906,11.070937
0,1,0.5,0.6,9,8.625949,10.779763
0,2,0.5,0.7,8,7.7827516,9.924618
0,3,0.5,0.8,7,7.3997407,9.557819
0,4,0.5,0.9,6,7.0948195,8.957318
0,5,0.5,1.0,5,7.1486692,8.870191
0,6,0.5,1.1,6,7.198663,8.7605915
0,7,0.5,1.2,7,7.5757637,9.463374
0,8,0.5,1.3,8,7.823953,10.21089
0,9,0.5,1.4,9,8.357368,10.925057
0,10,0.5,1.5,10,8.410977,11.534702
0,11,0.5,1.6,11,8.667649,11.790193
0,12,0.5,1.7,12,10.027085,12.977371
0,13,0.5,1.8,13,10.330293,13.7998295
0,14,0.5,1.9,14,10.975983,14.448527
0,15,0.5,2.0,15,11.202495,15.1084175
0,16,0.5,2.1,16,11.582974,15.361621
0,17,0.5,2.2,17,12.322792,15.661422
0,18,0.5,2.3,18,12.61463,16.454815
0,19,0.5,2.4,19,13.363787,17.292313
0,20,0.5,2.5,20,13.464596,17.624405
0,21,0.5,2.6,21,13.660325,17.76598
0,22,0.5,2.7,22,13.82267,17.840551
0,23,0.5,2.8,23,13.879444,18.167028
0,24,0.5,2.9,24,14.234941,18.546246
0,25,0.5,3.0,25,14.396373,18.583595
0,26,0.5,3.1,26,14.483965,18.548965
1,0,0.6,0.5,9,8.599519,10.87499
1,1,0.6,0.6,8,8.369594,10.404466
1,2,0.6,0.7,7,7.4528236,9.617329
1,3,0.6,0.8,6,7.1873307,9.119103
1,4,0.6,0.9,5,6.800532,8.444804
1,5,0.6,1.0,4,6.768046,8.493246
1,6,0.6,1.1,5,6.8515306,8.339699
1,7,0.6,1.2,6,7.3566046,9.184648
1,8,0.6,1.3,7,7.6451473,9.785861
1,9,0.6,1.4,8,8.231186,10.493819
1,10,0.6,1.5,9,8.337534,11.265484
1,11,0.6,1.6,10,8.506921,11.633332
1,12,0.6,1.7,11,9.867529,12.777381
1,13,0.6,1.8,12,10.157282,13.521215
1,14,0.6,1.9,13,10.8194065,14.110548
1,15,0.6,2.0,14,11.145749,14.909375
1,16,0.6,2.1,15,11.436793,15.213962
1,17,0.6,2.2,16,12.039829,15.72919
1,18,0.6,2.3,17,12.526107,16.126587
1,19,0.6,2.4,18,13.129572,16.858332
1,20,0.6,2.5,19,13.378255,17.539545
1,21,0.6,2.6,20,13.52917,17.803223
1,22,0.6,2.7,21,13.69293,17.67871
1,23,0.6,2.8,22,13.716338,17.926767
1,24,0.6,2.9,23,14.247843,18.472025
1,25,0.6,3.0,24,14.498975,18.529154
1,26,0.6,3.1,25,14.595412,18.53467
2,0,0.7,0.5,8,7.860861,10.231585
2,1,0.7,0.6,7,7.515096,9.561562
2,2,0.7,0.7,6,6.6766124,8.985497
2,3,0.7,0.8,5,6.1334324,7.952731
2,4,0.7,0.9,4,5.5403137,6.982173
2,5,0.7,1.0,3,5.061041,6.217136
2,6,0.7,1.1,4,5.1559997,6.082791
2,7,0.7,1.2,5,6.26385,7.2090287
2,8,0.7,1.3,6,6.867958,8.113008
2,9,0.7,1.4,7,7.396637,9.432841
2,10,0.7,1.5,8,7.618057,10.39875
2,11,0.7,1.6,9,7.7424498,10.800638
