ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.708906,7.0657663
0,1,0.5,0.6,9,8.625949,7.003636
0,2,0.5,0.7,8,7.7827516,6.226129
0,3,0.5,0.8,7,7.3997407,5.806575
0,4,0.5,0.9,6,7.0948195,5.5164404
0,5,0.5,1.0,5,7.1486692,5.6167426
0,6,0.5,1.1,6,7.198663,5.6943464
0,7,0.5,1.2,7,7.5757637,6.4313
0,8,0.5,1.3,8,7.823953,6.755934
0,9,0.5,1.4,9,8.357368,7.047999
0,10,0.5,1.5,10,8.410977,7.5338607
0,11,0.5,1.6,11,8.667649,7.676295
0,12,0.5,1.7,12,10.027085,8.487695
0,13,0.5,1.8,13,10.330293,8.816664
0,14,0.5,1.9,14,10.975983,9.162343
0,15,0.5,2.0,15,11.202495,9.570192
0,16,0.5,2.1,16,11.582974,9.763806
0,17,0.5,2.2,17,12.322792,10.035268
0,18,0.5,2.3,18,12.61463,10.562776
0,19,0.5,2.4,19,13.363787,11.03594
0,20,0.5,2.5,20,13.464596,11.23281
0,21,0.5,2.6,21,13.660325,11.396995
0,22,0.5,2.7,22,13.82267,11.4958
0,23,0.5,2.8,23,13.879444,11.673641
0,24,0.5,2.9,24,14.234941,12.020812
0,25,0.5,3.0,25,14.396373,12.242842
0,26,0.5,3.1,26,14.483965,12.348215
1,0,0.6,0.5,9,8.599519,7.0694513
1,1,0.6,0.6,8,8.369594,6.8279743
1,2,0.6,0.7,7,7.4528236,5.950162
1,3,0.6,0.8,6,7.1873307,5.6264043
1,4,0.6,0.9,5,6.800532,5.4466386
1,5,0.6,1.0,4,6.768046,5.415982
1,6,0.6,1.1,5,6.8515306,5.5460796
1,7,0.6,1.2,6,7.3566046,6.3019366
1,8,0.6,1.3,7,7.6451473,6.5553226
1,9,0.6,1.4,8,8.231186,7.0005097
1,10,0.6,1.5,9,8.337534,7.435046
1,11,0.6,1.6,10,8.506921,7.574024
1,12,0.6,1.7,11,9.867529,8.369961
1,13,0.6,1.8,12,10.157282,8.63679
1,14,0.6,1.9,13,10.8194065,9.071572
1,15,0.6,2.0,14,11.145749,9.475245
1,16,0.6,2.1,15,11.436793,9.647156
1,17,0.6,2.2,16,12.039829,9.97596
1,18,0.6,2.3,17,12.526107,10.38297
1,19,0.6,2.4,18,13.129572,10.870632
1,20,0.6,2.5,19,13.378255,11.149957
1,21,0.6,2.6,20,13.52917,11.318717
1,22,0.6,2.7,21,13.69293,11.345773
1,23,0.6,2.8,22,13.716338,11.476577
1,24,0.6,2.9,23,14.247843,11.981476
1,25,0.6,3.0,24,14.498975,12.340125
1,26,0.6,3.1,25,14.595412,12.404036
2,0,0.7,0.5,8,7.860861,6.491535
2,1,0.7,0.6,7,7.515096,6.1450396
2,2,0.7,0.7,6,6.6766124,5.4686155
2,3,0.7,0.8,5,6.1334324,4.8104987
2,4,0.7,0.9,4,5.5403137,4.2367287
2,5,0.7,1.0,3,5.061041,3.9261513
2,6,0.7,1.1,4,5.1559997,4.030212
2,7,0.7,1.2,5,6.26385,4.8631725
2,8,0.7,1.3,6,6.867958,5.347099
2,9,0.7,1.4,7,7.396637,6.1763563
2,10,0.7,1.5,8,7.618057,6.613541
2,11,0.7,1.6,9,7.7424498,6.826717
2,12,0.7,1.7,10,9.090198,7.5410485
2,13,0.7,1.8,11,10.137914,8.138217
2,14,0.7,1.9,12,10.736173,8.782176
2,15,0.7,2.0,13,11.291624,9.309747
2,16,0.7,2.1,14,11.359237,9.4395685
2,17,0.7,2.2,15,11.884677,9.858466
2,18,0.7,2.3,16,12.91383,10.380295
2,19,0.7,2.4,17,13.316438,10.708918
2,20,0.7,2.5,18,13.730159,11.289743
2,21,0.7,2.6,19,13.841552,11.473946
2,22,0.7,2.7,20,14.322483,11.764819
