ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.965939,7.088708
0,1,0.5,0.6,9,8.715075,6.9497085
0,2,0.5,0.7,8,8.227799,6.5989995
0,3,0.5,0.8,7,7.398628,5.8872743
0,4,0.5,0.9,6,7.1588144,5.6404185
0,5,0.5,1.0,5,7.3221736,5.805343
0,6,0.5,1.1,6,7.2870607,5.84713
0,7,0.5,1.2,7,7.6760726,6.4607835
0,8,0.5,1.3,8,7.846945,6.7517257
0,9,0.5,1.4,9,8.871521,7.341791
0,10,0.5,1.5,10,8.691729,7.668335
0,11,0.5,1.6,11,8.858933,7.8331985
0,12,0.5,1.7,12,10.095563,8.536766
0,13,0.5,1.8,13,10.50494,8.894765
0,14,0.5,1.9,14,11.202321,9.247316
0,15,0.5,2.0,15,11.491102,9.617206
0,16,0.5,2.1,16,11.984275,9.801215
0,17,0.5,2.2,17,12.528389,10.187913
0,18,0.5,2.3,18,12.787212,10.661589
0,19,0.5,2.4,19,13.732472,11.253521
0,20,0.5,2.5,20,13.718661,11.365221
0,21,0.5,2.6,21,13.95477,11.417633
0,22,0.5,2.7,22,14.015324,11.630857
0,23,0.5,2.8,23,14.005223,11.777998
0,24,0.5,2.9,24,14.430572,12.148793
0,25,0.5,3.0,25,14.655764,12.301724
0,26,0.5,3.1,26,14.938258,12.540218
1,0,0.6,0.5,9,8.664964,7.1214767
1,1,0.6,0.6,8,8.459899,6.7672324
1,2,0.6,0.7,7,7.643352,6.0800366
1,3,0.6,0.8,6,7.1548142,5.7123322
1,4,0.6,0.9,5,6.8473177,5.4614363
1,5,0.6,1.0,4,6.618003,5.3516793
1,6,0.6,1.1,5,6.840583,5.557956
1,7,0.6,1.2,6,7.2769837,6.110768
1,8,0.6,1.3,7,7.635638,6.420266
1,9,0.6,1.4,8,8.256768,6.929755
1,10,0.6,1.5,9,8.392492,7.450075
1,11,0.6,1.6,10,8.56913,7.5600395
1,12,0.6,1.7,11,9.836065,8.326682
1,13,0.6,1.8,12,10.304179,8.6542015
1,14,0.6,1.9,13,11.037546,9.120315
1,15,0.6,2.0,14,11.517247,9.494442
1,16,0.6,2.1,15,11.873225,9.628337
1,17,0.6,2.2,16,12.50996,9.979707
1,18,0.6,2.3,17,12.769234,10.455148
1,19,0.6,2.4,18,13.329272,10.965713
1,20,0.6,2.5,19,13.932911,11.250865
1,21,0.6,2.6,20,13.818347,11.301582
1,22,0.6,2.7,21,13.870156,11.383604
1,23,0.6,2.8,22,13.883858,11.637656
1,24,0.6,2.9,23,14.417258,12.096941
1,25,0.6,3.0,24,14.75812,12.412816
1,26,0.6,3.1,25,14.927797,12.533167
2,0,0.7,0.5,8,7.9683466,6.5261054
2,1,0.7,0.6,7,7.4893026,6.106281
2,2,0.7,0.7,6,6.50956,5.3376613
2,3,0.7,0.8,5,6.1031513,4.8823466
2,4,0.7,0.9,4,5.49838,4.2387204
2,5,0.7,1.0,3,5.045048,3.986026
2,6,0.7,1.1,4,5.3736057,4.1724014
2,7,0.7,1.2,5,6.121082,4.687475
2,8,0.7,1.3,6,6.719141,5.2657676
2,9,0.7,1.4,7,7.3464785,6.0657406
2,10,0.7,1.5,8,7.806084,6.634207
2,11,0.7,1.6,9,7.7623205,6.7857537
2,12,0.7,1.7,10,9.363222,7.652965
2,13,0.7,1.8,11,10.036693,8.060679
2,14,0.7,1.9,12,10.694254,8.697635
2,15,0.7,2.0,13,11.31389,9.261456
2,16,0.7,2.1,14,11.384406,9.35855
2,17,0.7,2.2,15,12.100079,9.875212
2,18,0.7,2.3,16,12.911823,10.356699
2,19,0.7,2.4,17,13.3907175,10.773238
2,20,0.7,2.5,18,13.810918,11.266864
2,21,0.7,2.6,19,13.897582,11.514419
2,22,0.7,2.7,20,14.335568,11.78483
2,23,0.7,2.8,21,14.564488,12.088453
2,24,0.7,2.9,22,14.778067,12.277728
2,25,0.7,3.0,23,15.040551,12.562823
2,26,0.7,3.1,24,15.145129,12.879188
3,0,0.8,0.5,7,7.409832,5.9384627
3,1,0.8,0.6,6,7.2613187,5.73978
3,2,0.8,0.7,5,6.109773,5.1776276
3,3,0.8,0.8,4,5.9604836,4.8682427
3,4,0.8,0.9,3,4.855351,3.872738
3,5,0.8,1.0,2,4.4409857,3.335519
3,6,0.8,1.1,3,4.3376913,3.29675
3,7,0.8,1.2,4,5.775823,4.7806673
3,8,0.8,1.3,5,6.2365074,4.942774
3,9,0.8,1.4,6,6.486573,5.397078
3,10,0.8,1.5,7,7.0423865,6.0186963
3,11,0.8,1.6,8,7.246457,6.233279
3,12,0.8,1.7,9,8.726634,7.295892
3,13,0.8,1.8,10,10.057042,8.093135
3,14,0.8,1.9,11,10.500739,8.449322
3,15,0.8,2.0,12,11.058707,9.040012
3,16,0.8,2.1,13,11.232136,9.191614
3,17,0.8,2.2,14,11.9702835,9.803499
3,18,0.8,2.3,15,12.923683,10.614148
3,19,0.8,2.4,16,13.505229,10.843978
3,20,0.8,2.5,17,13.614984,11.253453
3,21,0.8,2.6,18,13.79235,11.519442
3,22,0.8,2.7,19,14.517957,12.112112
3,23,0.8,2.8,20,14.758923,12.286666
3,24,0.8,2.9,21,15.014797,12.361288
3,25,0.8,3.0,22,14.676268,12.366353
3,26,0.8,3.1,23,14.720963,12.484487
4,0,0.9,0.5,6,6.6508355,5.5691767
4,1,0.9,0.6,5,6.3649836,5.2838297
4,2,0.9,0.7,4,4.770109,4.3587604
4,3,0.9,0.8,3,4.465426,4.215606
4,4,0.9,0.9,2,3.8421447,3.6138792
4,5,0.9,1.0,1,3.2967691,2.5007467
4,6,0.9,1.1,2,3.5787852,2.7423503
4,7,0.9,1.2,3,4.8274846,3.9201407
4,8,0.9,1.3,4,5.162948,4.1852975
4,9,0.9,1.4,5,5.347984,4.598282
4,10,0.9,1.5,6,6.1588697,5.3644443
4,11,0.9,1.6,7,6.630518,5.659948
4,12,0.9,1.7,8,8.352511,6.9693813
4,13,0.9,1.8,9,9.335175,7.4182982
4,14,0.9,1.9,10,9.533557,7.6591578
4,15,0.9,2.0,11,10.238299,8.398106
4,16,0.9,2.1,12,10.7257805,8.798524
4,17,0.9,2.2,13,11.801411,9.868405
4,18,0.9,2.3,14,12.337042,10.160267
4,19,0.9,2.4,15,12.441939,10.436045
4,20,0.9,2.5,16,12.929146,10.844309
4,21,0.9,2.6,17,13.566352,11.385303
4,22,0.9,2.7,18,14.3676605,12.0875435
4,23,0.9,2.8,19,14.386856,11.978696
4,24,0.9,2.9,20,14.263258,12.168643
4,25,0.9,3.0,21,14.551503,12.255258
4,26,0.9,3.1,22,14.753713,12.574513
5,0,1.0,0.5,5,6.627786,5.871746
5,1,1.0,0.6,4,6.0489674,5.4059463
5,2,1.0,0.7,3,4.4374814,4.1087046
5,3,1.0,0.8,2,3.7109437,3.392037
5,4,1.0,0.9,1,2.6263871,2.688019
5,5,1.0,1.0,0,0.0,0.0
5,6,1.0,1.1,1,1.1763225,1.1030862
5,7,1.0,1.2,2,3.3084502,2.7273715
5,8,1.0,1.3,3,4.3440557,3.4422286
5,9,1.0,1.4,4,5.0171647,4.0646315
5,10,1.0,1.5,5,5.8815775,4.8307137
5,11,1.0,1.6,6,6.2438393,5.2285433
5,12,1.0,1.7,7,7.8133235,6.342906
5,13,1.0,1.8,8,8.424789,6.7530365
5,14,1.0,1.9,9,8.731563,7.1724916
5,15,1.0,2.0,10,9.637425,7.823475
5,16,1.0,2.1,11,10.123873,8.312589
5,17,1.0,2.2,12,11.329753,9.32802
5,18,1.0,2.3,13,11.778947,9.699206
5,19,1.0,2.4,14,12.109308,10.076692
5,20,1.0,2.5,15,12.630643,10.665896
5,21,1.0,2.6,16,12.958437,11.0107
5,22,1.0,2.7,17,13.921685,11.806576
5,23,1.0,2.8,18,13.791934,11.683901
5,24,1.0,2.9,19,14.117491,11.984323
5,25,1.0,3.0,20,14.392476,12.361186
5,26,1.0,3.1,21,14.545053,12.4892235
6,0,1.1,0.5,6,6.8373547,6.117147
6,1,1.1,0.6,5,6.467865,5.692116
6,2,1.1,0.7,4,4.718932,4.131062
6,3,1.1,0.8,3,4.1679277,3.6042674
6,4,1.1,0.9,2,2.802613,2.029053
6,5,1.1,1.0,1,1.1063558,1.1763031
6,6,1.1,1.1,2,1.3359205,1.1770613
6,7,1.1,1.2,3,3.3846257,2.8346722
6,8,1.1,1.3,4,4.098051,3.3147278
6,9,1.1,1.4,5,4.7901073,4.0504947
6,10,1.1,1.5,6,5.69156,4.7547693
6,11,1.1,1.6,7,6.1821113,5.1693525
6,12,1.1,1.7,8,7.647699,6.288677
6,13,1.1,1.8,9,8.316665,6.6896873
6,14,1.1,1.9,10,8.732297,7.336752
6,15,1.1,2.0,11,9.713449,7.799872
6,16,1.1,2.1,12,10.105821,8.308931
6,17,1.1,2.2,13,11.248827,9.333192
6,18,1.1,2.3,14,11.7367,9.645784
6,19,1.1,2.4,15,12.260536,10.114234
6,20,1.1,2.5,16,12.733825,10.6501465
6,21,1.1,2.6,17,13.069241,11.05572
6,22,1.1,2.7,18,13.728638,11.578259
6,23,1.1,2.8,19,13.860087,11.683805
6,24,1.1,2.9,20,14.325497,12.152892
6,25,1.1,3.0,21,14.295507,12.250355
6,26,1.1,3.1,22,14.570295,12.43445
7,20,1.2,2.5,17,13.135762,10.914857
7,21,1.2,2.6,18,13.295172,11.243931
7,22,1.2,2.7,19,13.970253,11.864651
