ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.965939,10.834947
0,1,0.5,0.6,9,8.715075,10.64173
0,2,0.5,0.7,8,8.227799,9.362662
0,3,0.5,0.8,7,7.398628,8.62842
0,4,0.5,0.9,6,7.1588144,8.061378
0,5,0.5,1.0,5,7.3221736,8.017252
0,6,0.5,1.1,6,7.2870607,8.050372
0,7,0.5,1.2,7,7.6760726,8.802585
0,8,0.5,1.3,8,7.846945,9.148649
0,9,0.5,1.4,9,8.871521,10.730742
0,10,0.5,1.5,10,8.691729,11.490472
0,11,0.5,1.6,11,8.858933,11.900369
0,12,0.5,1.7,12,10.095563,14.179805
0,13,0.5,1.8,13,10.50494,15.003999
0,14,0.5,1.9,14,11.202321,15.90193
0,15,0.5,2.0,15,11.491102,16.816559
0,16,0.5,2.1,16,11.984275,17.463598
0,17,0.5,2.2,17,12.528389,18.380337
0,18,0.5,2.3,18,12.787212,18.755907
0,19,0.5,2.4,19,13.732472,19.767708
0,20,0.5,2.5,20,13.718661,19.911007
0,21,0.5,2.6,21,13.95477,20.02198
0,22,0.5,2.7,22,14.015324,20.113499
0,23,0.5,2.8,23,14.005223,19.71725
0,24,0.5,2.9,24,14.430572,20.139303
0,25,0.5,3.0,25,14.655764,20.357285
0,26,0.5,3.1,26,14.938258,20.258518
1,0,0.6,0.5,9,8.664964,10.767972
1,1,0.6,0.6,8,8.459899,10.407179
1,2,0.6,0.7,7,7.643352,8.928971
1,3,0.6,0.8,6,7.1548142,8.140228
1,4,0.6,0.9,5,6.8473177,7.688935
1,5,0.6,1.0,4,6.618003,7.162574
1,6,0.6,1.1,5,6.840583,7.5675697
1,7,0.6,1.2,6,7.2769837,8.111126
1,8,0.6,1.3,7,7.635638,8.791011
1,9,0.6,1.4,8,8.256768,10.108083
1,10,0.6,1.5,9,8.392492,11.357395
1,11,0.6,1.6,10,8.56913,11.610482
1,12,0.6,1.7,11,9.836065,13.983105
1,13,0.6,1.8,12,10.304179,14.925565
1,14,0.6,1.9,13,11.037546,15.889879
1,15,0.6,2.0,14,11.517247,17.038406
1,16,0.6,2.1,15,11.873225,17.650524
1,17,0.6,2.2,16,12.50996,18.453123
1,18,0.6,2.3,17,12.769234,18.922724
1,19,0.6,2.4,18,13.329272,19.459742
1,20,0.6,2.5,19,13.932911,20.38692
1,21,0.6,2.6,20,13.818347,20.131813
1,22,0.6,2.7,21,13.870156,20.102617
1,23,0.6,2.8,22,13.883858,19.878109
1,24,0.6,2.9,23,14.417258,20.156622
1,25,0.6,3.0,24,14.75812,20.45299
1,26,0.6,3.1,25,14.927797,20.41554
2,0,0.7,0.5,8,7.9683466,9.9331455
2,1,0.7,0.6,7,7.4893026,9.450068
2,2,0.7,0.7,6,6.50956,7.800644
2,3,0.7,0.8,5,6.1031513,6.3980913
2,4,0.7,0.9,4,5.49838,5.7634015
2,5,0.7,1.0,3,5.045048,4.7607975
2,6,0.7,1.1,4,5.3736057,5.1705613
2,7,0.7,1.2,5,6.121082,6.162588
2,8,0.7,1.3,6,6.719141,7.2349977
2,9,0.7,1.4,7,7.3464785,9.405864
2,10,0.7,1.5,8,7.806084,10.299022
2,11,0.7,1.6,9,7.7623205,10.778846
2,12,0.7,1.7,10,9.363222,12.937549
2,13,0.7,1.8,11,10.036693,14.135093
2,14,0.7,1.9,12,10.694254,15.582518
2,15,0.7,2.0,13,11.31389,16.925327
2,16,0.7,2.1,14,11.384406,17.078674
2,17,0.7,2.2,15,12.100079,18.353304
2,18,0.7,2.3,16,12.911823,19.543879
2,19,0.7,2.4,17,13.3907175,20.273376
2,20,0.7,2.5,18,13.810918,20.285551
2,21,0.7,2.6,19,13.897582,20.294676
2,22,0.7,2.7,20,14.335568,20.974098
2,23,0.7,2.8,21,14.564488,21.134537
2,24,0.7,2.9,22,14.778067,20.965586
2,25,0.7,3.0,23,15.040551,20.647564
2,26,0.7,3.1,24,15.145129,20.347162
3,0,0.8,0.5,7,7.409832,9.443101
3,1,0.8,0.6,6,7.2613187,9.314332
3,2,0.8,0.7,5,6.109773,7.514545
3,3,0.8,0.8,4,5.9604836,6.7743635
3,4,0.8,0.9,3,4.855351,5.128988
3,5,0.8,1.0,2,4.4409857,4.0593452
3,6,0.8,1.1,3,4.3376913,3.9584937
3,7,0.8,1.2,4,5.775823,6.085742
3,8,0.8,1.3,5,6.2365074,6.9867516
3,9,0.8,1.4,6,6.486573,8.189414
3,10,0.8,1.5,7,7.0423865,9.704095
3,11,0.8,1.6,8,7.246457,10.101577
3,12,0.8,1.7,9,8.726634,12.511227
3,13,0.8,1.8,10,10.057042,14.227954
3,14,0.8,1.9,11,10.500739,14.946813
3,15,0.8,2.0,12,11.058707,16.4417
3,16,0.8,2.1,13,11.232136,16.754015
3,17,0.8,2.2,14,11.9702835,18.38475
3,18,0.8,2.3,15,12.923683,19.534866
3,19,0.8,2.4,16,13.505229,20.243013
3,20,0.8,2.5,17,13.614984,20.143936
3,21,0.8,2.6,18,13.79235,20.277231
3,22,0.8,2.7,19,14.517957,20.999966
3,23,0.8,2.8,20,14.758923,21.277882
3,24,0.8,2.9,21,15.014797,21.353327
3,25,0.8,3.0,22,14.676268,19.909542
3,26,0.8,3.1,23,14.720963,19.874641
4,0,0.9,0.5,6,6.6508355,8.62871
