ix,iy,x,y,astar_steps,r0_latent_distance,r2_latent_distance
0,0,0.5,0.5,10,8.965939,0.9964019
0,1,0.5,0.6,9,8.715075,0.9887267
0,2,0.5,0.7,8,8.227799,1.0184722
0,3,0.5,0.8,7,7.398628,1.0559105
0,4,0.5,0.9,6,7.1588144,0.9728805
0,5,0.5,1.0,5,7.3221736,0.86162215
0,6,0.5,1.1,6,7.2870607,0.8694773
0,7,0.5,1.2,7,7.6760726,0.9561055
0,8,0.5,1.3,8,7.846945,1.061681
0,9,0.5,1.4,9,8.871521,1.071708
0,10,0.5,1.5,10,8.691729,0.9996298
0,11,0.5,1.6,11,8.858933,0.9799534
0,12,0.5,1.7,12,10.095563,1.0774925
0,13,0.5,1.8,13,10.50494,1.1555388
0,14,0.5,1.9,14,11.202321,1.1653701
0,15,0.5,2.0,15,11.491102,1.0709125
0,16,0.5,2.1,16,11.984275,1.0574328
0,17,0.5,2.2,17,12.528389,1.0984823
0,18,0.5,2.3,18,12.787212,1.0765529
0,19,0.5,2.4,19,13.732472,1.1211814
0,20,0.5,2.5,20,13.718661,1.0708115
0,21,0.5,2.6,21,13.95477,1.0540329
0,22,0.5,2.7,22,14.015324,1.1556542
0,23,0.5,2.8,23,14.005223,1.234639
0,24,0.5,2.9,24,14.430572,1.253059
0,25,0.5,3.0,25,14.655764,1.2547059
0,26,0.5,3.1,26,14.938258,1.2359111
1,0,0.6,0.5,9,8.664964,1.0373659
1,1,0.6,0.6,8,8.459899,1.0560695
1,2,0.6,0.7,7,7.643352,1.037382
1,3,0.6,0.8,6,7.1548142,1.0715761
1,4,0.6,0.9,5,6.8473177,1.0059
1,5,0.6,1.0,4,6.618003,0.84798473
1,6,0.6,1.1,5,6.840583,0.8540967
1,7,0.6,1.2,6,7.2769837,0.9510913
1,8,0.6,1.3,7,7.635638,1.0262527
1,9,0.6,1.4,8,8.256768,1.0391351
1,10,0.6,1.5,9,8.392492,0.9433417
1,11,0.6,1.6,10,8.56913,0.93725085
1,12,0.6,1.7,11,9.836065,1.0603313
1,13,0.6,1.8,12,10.304179,1.1442503
1,14,0.6,1.9,13,11.037546,1.1653754
1,15,0.6,2.0,14,11.517247,1.0973439
1,16,0.6,2.1,15,11.873225,1.0663996
1,17,0.6,2.2,16,12.50996,1.1103172
1,18,0.6,2.3,17,12.769234,1.0909727
1,19,0.6,2.4,18,13.329272,1.0977697
1,20,0.6,2.5,19,13.932911,1.0975496
1,21,0.6,2.6,20,13.818347,1.0792753
1,22,0.6,2.7,21,13.870156,1.1379527
1,23,0.6,2.8,22,13.883858,1.1969714
1,24,0.6,2.9,23,14.417258,1.2921263
1,25,0.6,3.0,24,14.75812,1.2767293
1,26,0.6,3.1,25,14.927797,1.2320762
2,0,0.7,0.5,8,7.9683466,1.0457634
2,1,0.7,0.6,7,7.4893026,1.0805279
2,2,0.7,0.7,6,6.50956,1.0668639
2,3,0.7,0.8,5,6.1031513,1.0222656
2,4,0.7,0.9,4,5.49838,0.8967835
2,5,0.7,1.0,3,5.045048,0.76863116
2,6,0.7,1.1,4,5.3736057,0.7753358
2,7,0.7,1.2,5,6.121082,0.90369517
2,8,0.7,1.3,6,6.719141,1.1165597
2,9,0.7,1.4,7,7.3464785,1.1044236
2,10,0.7,1.5,8,7.806084,1.0456532
2,11,0.7,1.6,9,7.7623205,1.0538841
2,12,0.7,1.7,10,9.363222,1.1901993
2,13,0.7,1.8,11,10.036693,1.2873082
2,14,0.7,1.9,12,10.694254,1.2193722
2,15,0.7,2.0,13,11.31389,1.1461016
2,16,0.7,2.1,14,11.384406,1.1239827
2,17,0.7,2.2,15,12.100079,1.191635
2,18,0.7,2.3,16,12.911823,1.2987539
2,19,0.7,2.4,17,13.3907175,1.2920758
2,20,0.7,2.5,18,13.810918,1.1878192
2,21,0.7,2.6,19,13.897582,1.1822699
2,22,0.7,2.7,20,14.335568,1.2357711
2,23,0.7,2.8,21,14.564488,1.3345239
2,24,0.7,2.9,22,14.778067,1.3497279
2,25,0.7,3.0,23,15.040551,1.2995739
2,26,0.7,3.1,24,15.145129,1.2222726
3,0,0.8,0.5,7,7.409832,1.0548317
3,1,0.8,0.6,6,7.2613187,1.0623568
3,2,0.8,0.7,5,6.109773,1.0646325
3,3,0.8,0.8,4,5.9604836,1.0926507
3,4,0.8,0.9,3,4.855351,0.926909
3,5,0.8,1.0,2,4.4409857,0.73712915
3,6,0.8,1.1,3,4.3376913,0.7227006
3,7,0.8,1.2,4,5.775823,0.95690906
3,8,0.8,1.3,5,6.2365074,1.1671941
3,9,0.8,1.4,6,6.486573,1.1324197
3,10,0.8,1.5,7,7.0423865,1.0551715
3,11,0.8,1.6,8,7.246457,1.0689137
3,12,0.8,1.7,9,8.726634,1.2133255
3,13,0.8,1.8,10,10.057042,1.3172116
3,14,0.8,1.9,11,10.500739,1.2858571
3,15,0.8,2.0,12,11.058707,1.1108873
3,16,0.8,2.1,13,11.232136,1.1098133
3,17,0.8,2.2,14,11.9702835,1.2468015
3,18,0.8,2.3,15,12.923683,1.3368274
3,19,0.8,2.4,16,13.505229,1.3507955
3,20,0.8,2.5,17,13.614984,1.2032971
3,21,0.8,2.6,18,13.79235,1.1873571
3,22,0.8,2.7,19,14.517957,1.2873912
3,23,0.8,2.8,20,14.758923,1.3513484
3,24,0.8,2.9,21,15.014797,1.4041356
3,25,0.8,3.0,22,14.676268,1.2868447
3,26,0.8,3.1,23,14.720963,1.278369
4,0,0.9,0.5,6,6.6508355,0.92207336
4,1,0.9,0.6,5,6.3649836,0.96945
4,2,0.9,0.7,4,4.770109,0.8906228
4,3,0.9,0.8,3,4.465426,0.85491264
4,4,0.9,0.9,2,3.8421447,0.74427587
4,5,0.9,1.0,1,3.2967691,0.56648695
4,6,0.9,1.1,2,3.5787852,0.6084577
4,7,0.9,1.2,3,4.8274846,0.8354258
4,8,0.9,1.3,4,5.162948,0.9592564
4,9,0.9,1.4,5,5.347984,1.0104917
4,10,0.9,1.5,6,6.1588697,0.97961277
4,11,0.9,1.6,7,6.630518,1.0158089
4,12,0.9,1.7,8,8.352511,1.1442746
4,13,0.9,1.8,9,9.335175,1.1643648
4,14,0.9,1.9,10,9.533557,1.0554348
4,15,0.9,2.0,11,10.238299,1.0131001
4,16,0.9,2.1,12,10.7257805,1.0336382
4,17,0.9,2.2,13,11.801411,1.2573577
4,18,0.9,2.3,14,12.337042,1.2294784
4,19,0.9,2.4,15,12.441939,1.196995
4,20,0.9,2.5,16,12.929146,1.1571743
4,21,0.9,2.6,17,13.566352,1.1973437
4,22,0.9,2.7,18,14.3676605,1.2740204
4,23,0.9,2.8,19,14.386856,1.2731849
4,24,0.9,2.9,20,14.263258,1.2773293
4,25,0.9,3.0,21,14.551503,1.2496724
4,26,0.9,3.1,22,14.753713,1.2570246
5,0,1.0,0.5,5,6.627786,0.9084168
5,1,1.0,0.6,4,6.0489674,0.88909155
5,2,1.0,0.7,3,4.4374814,0.80097795
5,3,1.0,0.8,2,3.7109437,0.7616391
5,4,1.0,0.9,1,2.6263871,0.53678864
5,5,1.0,1.0,0,0.0,0.0
5,6,1.0,1.1,1,1.1763225,0.30258098
5,7,1.0,1.2,2,3.3084502,0.57280064
5,8,1.0,1.3,3,4.3440557,0.78843975
5,9,1.0,1.4,4,5.0171647,0.91241014
5,10,1.0,1.5,5,5.8815775,0.94117874
5,11,1.0,1.6,6,6.2438393,0.8830878
5,12,1.0,1.7,7,7.8133235,0.9969126
5,13,1.0,1.8,8,8.424789,1.0269923
5,14,1.0,1.9,9,8.731563,0.94440067
5,15,1.0,2.0,10,9.637425,0.8994277
5,16,1.0,2.1,11,10.123873,0.90045863
5,17,1.0,2.2,12,11.329753,1.0872338
5,18,1.0,2.3,13,11.778947,1.0888842
5,19,1.0,2.4,14,12.109308,1.0649333
5,20,1.0,2.5,15,12.630643,1.0096109
5,21,1.0,2.6,16,12.958437,1.0599738
5,22,1.0,2.7,17,13.921685,1.2249774
5,23,1.0,2.8,18,13.791934,1.203569
5,24,1.0,2.9,19,14.117491,1.1913431
5,25,1.0,3.0,20,14.392476,1.1988649
5,26,1.0,3.1,21,14.545053,1.1733484
6,0,1.1,0.5,6,6.8373547,0.8700311
6,1,1.1,0.6,5,6.467865,0.9522128
6,2,1.1,0.7,4,4.718932,0.7546647
6,3,1.1,0.8,3,4.1679277,0.725825
6,4,1.1,0.9,2,2.802613,0.53605413
6,5,1.1,1.0,1,1.1063558,0.31184244
6,6,1.1,1.1,2,1.3359205,0.342898
6,7,1.1,1.2,3,3.3846257,0.6280422
