representation,n_train,feature_dim,astar_spearman,astar_r2,speed_r2,direction_cosine,collision_accuracy,collision_auc,action_magnitude_r2,action_decode_r2,action_to_latent_r2,astar_action_subspace_overlap,speed_action_subspace_overlap,direction_action_subspace_overlap,selection_score
dino/0/cls,1227,384,0.9122092702781028,0.8276508537029079,-0.08728418643438163,0.5457883383904609,0.9288025889967637,0.41305036426987646,-0.16333446499093163,-0.08521045020765339,-0.0016204183472285916,0.003150934022905365,0.006823386156139714,0.004385101412600769,0.29159952173371273
dino/0/individual_patches,48099,384,0.037475767759833606,-491.67883412503016,-0.025742753493203985,0.28313120172985656,0.9282411993923783,0.43725523442943015,-0.048907688667853,-0.018789611718604826,-7.909770747738243e-05,0.04295169460660323,0.0040501453024917285,0.010940886671007505,0.06412139389793803
dino/0/pooled_patches,1227,384,0.9746078471318328,0.9479965724290006,-0.3044538768966829,0.8184263948986092,0.9288025889967637,0.35761799176433323,-0.25473505121122075,-0.14993668360650547,-0.0022086417328233132,0.002256180870534395,0.0010129308136504571,0.014686551721958468,0.35860684840608836
dino/0/projected_aggregate,1227,128,0.8524518026763243,0.6948549278382067,-0.008178995348383289,0.40185558516829656,0.9288025889967637,0.46484003801076973,-0.05716866327617742,-0.04238986435438097,0.00039776573093774914,0.0078029089384303,0.004142334159161782,0.01602280587428171,0.25086147756892413
dino/0/projected_patches,48099,8,-0.0003108969979347465,-0.0010125462694430265,-0.0023771270882797513,0.01769766843175695,0.9288025889967637,0.5114953653431016,-0.008306827233531378,-0.005199768515502301,-4.149512739304306e-05,0.019588003856065378,0.19566908767175084,0.2982265618268387,0.008137679823592023
dino/1/cls,1227,384,0.940798816648194,0.8754626320644745,-0.15973467558512056,0.6666327538007543,0.9288025889967637,0.397212543554007,-0.25130332761558183,-0.05041287201188416,-0.0017070643135810304,0.0003073293285903485,0.00477157190242103,0.015245293268408056,0.3214863140897896
dino/1/individual_patches,48099,384,0.03460065344300615,-224.12070264827264,-0.017274902654231816,0.20781821773738704,0.9285053827356186,0.4425835133365532,-0.04089457578014666,-0.02177379150456127,-6.532236619150034e-05,0.007439731218402988,0.00168266157732375,0.005859039080748776,0.048483774236078636
dino/1/pooled_patches,1227,384,0.9866164624171957,0.9744933059200628,-0.23880220790859918,0.8470351668948817,0.9288025889967637,0.33370288248337027,-0.4262138231195409,-0.16110874481143345,-0.0016519297697441537,0.0010555585842913248,0.002173551485676551,0.011397609807324023,0.36673032586241544
dino/1/projected_aggregate,1227,128,0.9145599647872887,0.8306603289629619,-0.01357436676754098,0.5725881203668818,0.9288025889967637,0.4748178650617675,-0.1046937712665279,-0.047239210893715855,0.0011333411261473803,0.03672919550573475,0.006906723557179136,0.043855925005948954,0.2974296170308341
dino/1/projected_patches,48099,8,0.0016130969362555115,-0.0011327258010969121,-0.0020659206976860744,0.028237978394494156,0.9288025889967637,0.46556865362164984,-0.008506379377653195,-0.005215464085867261,-0.00013408058475250506,0.5831719669339356,0.2706903681341441,0.45681812512461517,0.005970215066149934
dino/10/cls,1227,384,0.9848223103450171,0.9702248533539677,-0.1293909193977163,0.8407855418089625,0.9288025889967637,0.41273360785555907,-0.1941583600318424,-0.07374359549016618,-0.0004249457694769365,0.0009834521852288775,0.0014231347962048483,0.012956940510187285,0.3651215704307959
dino/10/individual_patches,48099,384,0.0633156311378195,-74.38440627070361,-0.0041955833224902594,0.4939210669275145,0.9288025889967637,0.4262650170706773,-0.040037888543184685,-0.007198235997480484,-0.00015298704576771627,0.008562352101414853,0.006784162301177018,0.07462009444449286,0.11144733961306678
dino/10/pooled_patches,1227,384,0.9925776884402353,0.9879694169195763,-0.18874069666360715,0.8875900086729555,0.9288025889967637,0.38961038961038963,-0.23685027321871366,-0.11799931790225004,-0.0022266474250147716,0.0046797501087604415,0.0007330587855581949,0.016556640082415204,0.3760335394226382
dino/10/projected_aggregate,1227,128,0.9766142319637213,0.934250625308422,-0.0012279903423837446,0.7561588011349744,0.9288025889967637,0.45169464681659804,-0.03445754875236995,0.030252701481936706,0.003915658342803274,0.009665668354266532,0.0022472822079801463,0.02151308268076559,0.3526051469161265
dino/10/projected_patches,48099,8,-0.006217340721967531,-0.015456698591787665,-0.001951741541911467,0.10144622023763405,0.9288025889967637,0.47768926987316684,-0.008268539896250093,-0.004344719986799417,0.0002734872461980231,0.6060772547212678,0.49471539234745715,0.41655976039688913,0.02028924404752681
dino/11/cls,1227,384,0.9914937823524321,0.9862515846200232,-0.16964205702052104,0.858058747371573,0.9288025889967637,0.4406081723154894,-0.19338773283154387,-0.0812527787041113,-0.0021494251123470587,0.0003544129043501556,0.0003688463357288194,0.01797521799390503,0.369910505944801
dino/11/individual_patches,48099,384,0.3537519382699393,-4.702209428553834,-0.04188060282619799,0.7248996646397124,0.9287695660788587,0.4364556586534726,-0.12556563242921648,-0.004690462220710234,-0.0006051975739509441,0.002355539307341487,3.481982460452625e-07,0.03361170646196612,0.21573032058193037
dino/11/pooled_patches,1227,384,0.9918580880802804,0.9858660716669854,-0.11675814351330094,0.8813416356469032,0.9288025889967637,0.4471016788089959,-0.20539519137788287,-0.0732800930360833,-0.0026884885043321205,0.0009229888529425133,0.00012513410558049435,0.01676715580071003,0.3746399447454367
dino/11/projected_aggregate,1227,128,0.9818765402370325,0.9680393938131081,-0.02894938589982443,0.8533472795747842,0.9288025889967637,0.5033259423503326,-0.013126966770682369,0.03469070904405569,0.00827811923042554,0.014871082053149654,0.0005040430873315678,0.007368716599319999,0.37531328271130754
dino/11/projected_patches,48099,8,-0.0011416652500827913,-0.05439557870361278,-0.0031568901086500567,0.166897931986958,0.9288025889967637,0.4555238901751026,-0.00937441070026579,-0.0026277113633401683,0.0003584206408488999,0.17019798734602665,0.4444079972066565,0.8275350920130851,0.033379586397391595
dino/2/cls,1227,384,0.9657507982172061,0.9290655770761383,-0.11933228096797888,0.7370964229932879,0.9288025889967637,0.3770985112448527,-0.21362799742699168,-0.06791988176810793,-0.0014951820456925446,0.0005927780819498181,0.0024294879769950297,0.0047989033571177245,0.34056944424209884
dino/2/individual_patches,48099,384,0.028808964579890618,-191.19914923735428,-0.00820796401708268,0.20223937019011481,0.9286704973251436,0.4484321283089073,-0.027561193480591273,-0.023468183046857494,-6.70992824185479e-05,0.011308143478041847,0.0029410851336946716,0.023304844634151875,0.04620966695400109
dino/2/pooled_patches,1227,384,0.9889702464449218,0.9800087718276725,-0.18279106298674197,0.8639852358333654,0.9255663430420712,0.3579347481786506,-0.30650389624902674,-0.12686531588930738,-0.001156576994671532,0.005362739625927243,0.0013369241326991748,0.01578437975956893,0.37059109645565746
dino/2/projected_aggregate,1227,128,0.9488978178610339,0.8940554030745678,-0.04497496629433462,0.6449234965553664,0.9288025889967637,0.4808362369337979,-0.10173640036598752,0.006224707418144959,0.00521107335267712,0.0018796323553636907,0.003954173190496759,0.006753350589096363,0.32000920436690905
dino/2/projected_patches,48099,8,-0.0011249290043550254,-0.0012542275500533329,-0.00185968208560916,0.02570423191142936,0.9288025889967637,0.5137802397823629,-0.008914240903354242,-0.005171960298973488,-0.00010122886851160473,0.2584891886562994,0.2188837875015127,0.23315070184116912,0.010652942295231019
dino/3/cls,1227,384,0.9811222686134614,0.9639313873232953,-0.1704971539195439,0.8198378904562363,0.9288025889967637,0.332277478618942,-0.19194348340779332,-0.0349441174285392,0.0019237109707201938,0.0019455463441263477,0.0017058170925922944,0.008857566135159603,0.36019203181393955
dino/3/individual_patches,48099,384,0.029645839783454548,-3495.40355527597,-0.012084439697172211,0.3381908838805857,0.9287365431609537,0.42238930247229634,-0.023558180398537854,-0.00917599961784843,-2.8978259793976946e-05,0.006740467006694125,0.0004872806053779296,0.034908149739681815,0.07356734473280804
dino/3/pooled_patches,1227,384,0.9938534021374004,0.9900804727805198,-0.2121287892110486,0.8689887193046019,0.9288025889967637,0.36015204307887233,-0.3353732599487105,-0.11739836588615105,0.0021908587818195713,0.0019525811586327353,0.0006551940642762033,0.026689962578112153,0.3725684242884005
dino/3/projected_aggregate,1227,128,0.9474413673292754,0.8896324376951457,-0.01682631040548843,0.6709269916714303,0.9288025889967637,0.5072853975293,-0.08140074194761149,0.015022685347262699,0.0026707899652702594,0.0034508914550584096,0.017884909463513985,0.012254597503371809,0.3295923678813137
dino/3/projected_patches,48099,8,-0.0003959665238547998,-0.0022634333682760577,-0.002161347494971322,0.022757482266260082,0.9288025889967637,0.48760200750479193,-0.00886455411220366,-0.0046665434838220055,6.519869480059448e-05,0.06763868008240365,0.24431434264095447,0.3223157127609741,0.004551496453252016
dino/4/cls,1227,384,0.9772909223439532,0.947744851575176,-0.06112085363128994,0.7875627913944505,0.9288025889967637,0.41716819765600255,-0.1222151368672253,0.024925412760031573,-0.0005171160642392092,1.6064944506465912e-05,0.000651552252617233,0.006994819148955349,0.35795582529968706
dino/4/individual_patches,48099,384,0.033648449483810086,-391.07931954933264,0.00301456890886842,0.2728247448028139,0.9288025889967637,0.44502546320513425,-0.020281410199210148,-0.01973120663473349,-3.212253388662489e-05,0.002230604954303185,0.0116628291634571,0.07430316330616685,0.06189755263909848
dino/4/pooled_patches,1227,384,0.9945604727832762,0.991248847820845,-0.1622187419182275,0.8972156879039956,0.9288025889967637,0.4094076655052265,-0.4129692241651779,-0.09703904746423309,0.0007250921727366411,0.0009690844879610012,0.0022149669238762295,0.023310553829226425,0.37835523213745437
dino/4/projected_aggregate,1227,128,0.9586075738927164,0.9109464781036218,-0.03325671889520554,0.6884367200468886,0.9288025889967637,0.4588216661387393,-0.057719479289833675,0.02319174801038837,0.0010486112129720615,0.006760771064727975,0.0014254172573214873,0.02706717145982117,0.3340472083899987
dino/4/projected_patches,48099,8,-0.0032888940147117293,-0.005491557716570394,-0.0023116242728191683,0.0219825125763932,0.9288025889967637,0.49659105915772345,-0.008603629666844803,-0.004810614437273708,0.00011166262357031886,0.2098366531276471,0.03424067078975639,0.2128270942608061,0.00439650251527864
dino/5/cls,1227,384,0.9850924715773532,0.9696350049451016,-0.06795218044621376,0.8429575418170239,0.9288025889967637,0.4356984478935698,-0.18644384320676854,-0.02794777030820428,-0.0007755463466636581,0.0025838900601979414,0.0003364114397539997,0.01150092828423283,0.36561000267887545
dino/5/individual_patches,48099,384,0.07810852947056025,-77.90382911241767,0.01080984927637818,0.4344850901636514,0.9288025889967637,0.4236065092453691,-0.022713581646888192,-0.011674334023297428,-2.687865716621829e-05,0.0025629233516266756,0.03626305527351197,0.07797088614183123,0.10468069378211797
dino/5/pooled_patches,1227,384,0.9942175362253298,0.9902870013828938,-0.1780710089933053,0.9063247167799475,0.9288025889967637,0.3930947101678809,-0.2635463602577446,-0.08079528170715089,0.000864509541822378,0.008817003022475917,0.00048353743911483507,0.012475639864168744,0.38010845060105547
dino/5/projected_aggregate,1227,128,0.9686695350379653,0.9325394603150042,-0.023321592188320306,0.7729277796364881,0.9288025889967637,0.46911624960405446,-0.07319879799276063,0.020811108606784035,0.008670991549126428,0.013008592552737541,0.03001927463730998,0.030333212662147734,0.35248168465624746
dino/5/projected_patches,48099,8,0.00013409295212543212,-0.007251073012155773,-0.0016179315207289768,0.06408851352265377,0.9288025889967637,0.5353099133675824,-0.008863104843553016,-0.004222004261634327,0.0002365857192521137,0.22666074676923276,0.13213285060320434,0.45132971517854764,0.026968486641988792
